0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:55 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:58 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=duco HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:58 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:58 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:50:58 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=duco&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:05 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:06 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:06 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:06 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:16 -0800] "GET /cs122b-project/page/searchResult.html?browseType=genre&category=cmr HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:17 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:17 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:17 -0800] "GET /cs122b-project/api/browse?browseType=genre&category=cmr&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:19 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:19 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:19 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 304 -
