0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:29 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:32 -0800] "GET /cs122b-project/page/textSearchResult.html?query=s&&offset=10 HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:32 -0800] "GET /cs122b-project/js/textSearchResult.js HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:33 -0800] "GET /cs122b-project/api/fullTextSearch?query=s&&offset=10 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:45 -0800] "GET /cs122b-project/page/textSearchResult.html?query=s&offset=0 HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:45 -0800] "GET /cs122b-project/js/textSearchResult.js HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:45 -0800] "GET /cs122b-project/api/fullTextSearch?query=s&&offset=0 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:35:47 -0800] "GET /cs122b-project/page/next HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:25 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:25 -0800] "GET /cs122b-project/ HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:26 -0800] "GET /css/login.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:26 -0800] "GET /js/login.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:26 -0800] "GET /js/login.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:36 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:36 -0800] "GET /cs122b-project/ HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:37 -0800] "GET /css/login.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:37 -0800] "GET /js/login.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:37 -0800] "GET /js/login.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:49 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:49 -0800] "GET /cs122b-project/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:49 -0800] "GET /cs122b-project/page/login.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:49 -0800] "GET /cs122b-project/css/login.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:49 -0800] "GET /cs122b-project/js/login.js HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [03/Mar/2019:11:36:50 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
